sedacounty,sedacountyname,sesall,cs_mn_all
27001,AitkinCounty,0.33046108,0.048204688
27003,AnokaCounty,1.06602790,0.258986130
27005,BeckerCounty,0.50962532,0.030336932
27007,BeltramiCounty,-0.21375406,0.010923433
27009,BentonCounty,0.48810211,0.272314811
27011,BigStoneCounty,0.65523213,-0.035824396
27013,BlueEarthCounty,0.51147854,0.069176105
27015,BrownCounty,0.94785452,0.166201931
27017,CarltonCounty,0.53876257,0.076772927
27019,CarverCounty,1.74387540,0.583034642
27021,CassCounty,0.25260967,-0.176505734
27023,ChippewaCounty,0.64078778,0.004705625
